group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.625449,-89.427853,Jackson,Big Muddy River,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,1994,,37.625449,-89.427853,Jackson,Big Muddy River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.625958,-89.088651,Williamson,Devils Kitchen Lake,,,,,,,,,,,,
Plants,Egeria densa,Brazilian Waterweed,2008,,37.62607769,-89.08896089,Williamson,Devils Kitchen Lake,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1992,,37.626469,-89.427853,Jackson,Big Muddy River,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,1994,,37.626469,-89.427853,Jackson,Big Muddy River,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,37.627692,-89.11869,Williamson,Little Grassy Lake and Devil's Kitchen Lake,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,2012,unknown,37.6281,-89.096031,Williamson,Devil's Kitchen Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,1984,,37.63520698,-89.10556946,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis,Common Reed,1993,,37.63697177,-89.46348521,Jackson,,,,,,,,,,,,,
Fishes,Osmerus mordax,Rainbow Smelt,1987,,37.642782,-89.515743,Jackson,Mississippi River,,,,,,,,,,,,
Plants,Phragmites australis,Common Reed,1984,,37.6499572,-89.10536546,Williamson,,,,,,,,,,,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1993,,37.651875,-89.44498216,Jackson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.67748,-88.95429,Williamson,,,,,,,,,,,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1993,,37.68227762,-89.44435984,Jackson,,,,,,,,,,,,,
Plants,Phragmites australis,Common Reed,1993,,37.69837914,-89.4451824,Jackson,,,,,,,,,,,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1993,,37.69837914,-89.4451824,Jackson,,,,,,,,,,,,,
Plants,Nasturtium officinale,Watercress,1966,collected,37.706776,-89.218082,Jackson,,,,,,,,,,,,,
Fishes,Piaractus brachypomus,"Pirapatinga, Red-Bellied Pacu",1992,failed,37.708983,-89.227095,Jackson,Campus Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.71148,-89.05823,Williamson,Wolf Creek,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.7188,-88.5428,Saline,,,,,,,,,,,,,
Fishes,Morone x Morone chrysops x saxatilis,Wiper,1997,,37.72,-89.091,Jackson,Crab Orchard Lake,,,,,,,,,,,,
Crustaceans,Argulus japonicus,Parasitic Copepod,1980,collected,37.720491,-89.091568,Williamson,Crab Orchard Lake,,,,,,,,,,,,
Fishes,Morone saxatilis,Striped Bass,1979,collected,37.720491,-89.091568,Williamson,Crab Orchard Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.7212,-88.9584,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7293,-88.8507,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7293,-88.8687,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7295,-88.8339,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7301,-88.5916,Saline,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7305,-88.7527,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7326,-88.8022,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7327,-88.8129,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7333,-88.6735,Saline,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7333,-88.6313,Saline,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7334,-88.6419,Saline,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7335,-88.6501,Saline,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.73376,-89.14808,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.734,-88.9587,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.73786,-89.11935,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7382,-88.7136,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7387,-88.5625,Saline,,,,,,,,,,,,,
Plants,Lythrum salicaria,Purple Loosestrife,2010,,37.7456,-89.118,Williamson,,,,,,,,,,,,,
Plants,Lythrum salicaria,Purple Loosestrife,2008,,37.74567,-89.11796,Williamson,Crab Orchard Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.74923,-88.972314,Williamson,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.74923,-88.972314,Williamson,,,,,,,,,,,,,
Fishes,Morone saxatilis,Striped Bass,1979,collected,37.74923,-88.972314,Williamson,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.7506,-88.5159,Saline,,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1998,,37.75234587,-88.07937324,Gallatin,Fehrer Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.753831,-88.54084,Saline,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.753831,-88.54084,Saline,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,1998,,37.75415241,-89.35197822,Jackson,Big Muddy River,,,,,,,,,,,,
Fishes,Menidia beryllina,Inland Silverside,1999,,37.75571744,-89.44322375,Jackson,Kinkaid Creek,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Marsilea quadrifolia,European Waterclover,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Fishes,Morone saxatilis,Striped Bass,1979,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Mentha aquatica,Water Mint,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Plants,Nasturtium officinale,Watercress,2008,collected,37.769401,-89.314721,Jackson,,,,,,,,,,,,,
Fishes,Morone saxatilis,Striped Bass,1977,,37.77729648,-89.44986366,Jackson,Kinkaid Lake,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,37.7778,-89.4539,Jackson,Kinkaid Lake,,,,,,,,,,,,
Crustaceans,Daphnia lumholtzi,Water Flea,1994,collected,37.7778,-89.4539,Jackson,Kincaid Lake,,,,,,,,,,,,
