number,HUC12_1,group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude
27.5,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.6,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1943,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.7,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.8,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.9,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.1,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.11,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.12,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.13,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1979,NA,Cook,Jackson Park Lagoon,-87.582,41.785
27.14,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.582,41.785
27.15,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,-87.582,41.785
57.1,71200040705,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,1994,NA,Cook,Chicago Sanitary and Ship Canal,-87.82089,41.788921
27.16,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,collected,Cook,Hyde Park Pond,-87.593938,41.794201
41.1,71200040805,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,DuPage,West Branch DuPage River,-88.1872,41.7952
24,71200030107,Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,Cook,NA,-87.65722,41.79611
58,71200040404,Crustaceans,Procambarus clarkii,Red Swamp Crayfish,2010,collected,DuPage,Pond in Prospect Park,-87.959418,41.800527
